Product,Quantity,BoM Type,Unit of Measure,Project Name,BoM Lines/Component,BoM Lines/Quantity,Flow Type,Indent Reference,Status
Steel Structure Assembly,1,Manufacturing,Units,Alpha Construction Project,Steel Rod 12mm,50,project,IND/PROJ-ALPHA-001,draft
Steel Structure Assembly,1,Manufacturing,Units,Alpha Construction Project,Steel Plate 10mm,20,project,IND/PROJ-ALPHA-001,draft
Steel Structure Assembly,1,Manufacturing,Units,Alpha Construction Project,Welding Rod E6013,5,project,IND/PROJ-ALPHA-001,draft
Steel Structure Assembly,1,Manufacturing,Units,Alpha Construction Project,Primer Paint,2,project,IND/PROJ-ALPHA-001,draft
Concrete Foundation Mix,1,Manufacturing,Cubic Meter,Alpha Construction Project,Portland Cement 50kg,15,project,IND/PROJ-ALPHA-002,draft
Concrete Foundation Mix,1,Manufacturing,Cubic Meter,Alpha Construction Project,River Sand Fine,0.5,project,IND/PROJ-ALPHA-002,draft
Concrete Foundation Mix,1,Manufacturing,Cubic Meter,Alpha Construction Project,Aggregate 20mm,0.8,project,IND/PROJ-ALPHA-002,draft
Concrete Foundation Mix,1,Manufacturing,Cubic Meter,Alpha Construction Project,Water,200,project,IND/PROJ-ALPHA-002,draft
Electrical Panel Assembly,1,Manufacturing,Units,Beta Electrical Project,Distribution Board 12-way,1,project,IND/PROJ-BETA-001,draft
Electrical Panel Assembly,1,Manufacturing,Units,Beta Electrical Project,MCB 32A Single Pole,12,project,IND/PROJ-BETA-001,draft
Electrical Panel Assembly,1,Manufacturing,Units,Beta Electrical Project,Copper Wire 4mm²,50,project,IND/PROJ-BETA-001,draft
Electrical Panel Assembly,1,Manufacturing,Units,Beta Electrical Project,Cable Gland 20mm,8,project,IND/PROJ-BETA-001,draft
Pump Motor Assembly,1,Kit,Units,,SKF Bearing 6308,2,spare,IND/SPARE-PUMP-001,draft
Pump Motor Assembly,1,Kit,Units,,Mechanical Seal 40mm,1,spare,IND/SPARE-PUMP-001,draft
Pump Motor Assembly,1,Kit,Units,,V-Belt B50,1,spare,IND/SPARE-PUMP-001,draft
Pump Motor Assembly,1,Kit,Units,,Lithium Grease 400g,2,spare,IND/SPARE-PUMP-001,draft
Conveyor Belt System,1,Kit,Units,,Conveyor Belt 1200mm,10,spare,IND/SPARE-CONV-001,draft
Conveyor Belt System,1,Kit,Units,,Belt Fastener Clips,20,spare,IND/SPARE-CONV-001,draft
Conveyor Belt System,1,Kit,Units,,Roller Bearing 6205,8,spare,IND/SPARE-CONV-001,draft
Conveyor Belt System,1,Kit,Units,,Drive Chain 16B-1,5,spare,IND/SPARE-CONV-001,draft
HVAC Unit Maintenance,1,Kit,Units,,Air Filter 600x300,4,spare,IND/SPARE-HVAC-001,draft
HVAC Unit Maintenance,1,Kit,Units,,Fan Belt A38,2,spare,IND/SPARE-HVAC-001,draft
HVAC Unit Maintenance,1,Kit,Units,,Refrigerant R410A,2,spare,IND/SPARE-HVAC-001,draft
HVAC Unit Maintenance,1,Kit,Units,,Thermostat Digital,1,spare,IND/SPARE-HVAC-001,draft
